id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,quality_grade,license,url,image_url,sound_url,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
168514364,ea6c2522-51f0-4a53-b193-a67b3d74ca27,2023-06-20 10:07:39,2023-06-20,2023-06-20 17:07:39 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/168514364,,https://static.inaturalist.org/sounds/745700.m4a?1687281009,2,0,false,"Santa Cruz, CA, USA",36.95427659,-122.02815248,5,5,California Ground Squirrel,Otospermophilus beecheyi,California Ground Squirrel,Mammalia,180007
168599617,4d2a2015-20fb-4bd7-8281-540adf51bc99,2023-06-20 20:11:06-07:00,2023-06-20,2023-06-21 03:11:06 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/168599617,,https://static.inaturalist.org/sounds/746145.m4a?1687318151,1,0,false,"Hidden Mesa Rd, El Cajon, CA, US",32.77240772,-116.9194734448,10,10,Coyote,Canis latrans,Coyote,Mammalia,42051
169026876,e6b3c18f-ff4b-4a1c-a32b-8073877a5557,2023-06-23 10:13:17-07:00,2023-06-23,2023-06-23 17:13:17 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/169026876,https://inaturalist-open-data.s3.amazonaws.com/photos/293002621/medium.jpg,https://static.inaturalist.org/sounds/748693.m4a?1687540498,1,0,false,"Portola Ave, Indian Wells, CA, US",33.7034012433,-116.3697702139,8,8,California Ground Squirrel,Otospermophilus beecheyi,California Ground Squirrel,Mammalia,180007
169348005,8a8ea739-4f80-4fff-b26e-b14c01d106fc,2023-06-25 02:43:27-07:00,2023-06-25,2023-06-25 09:43:27 UTC,Pacific Time (US & Canada),research,,https://www.inaturalist.org/observations/169348005,,https://static.inaturalist.org/sounds/750798.m4a?1687686292,1,0,false,"San Diego County, US-CA, US",33.092484044,-117.0720232174,61,29012,Coyote,Canis latrans,Coyote,Mammalia,42051
169348238,adf44284-52f9-4c07-909c-03bb621f5acd,2023-06-25 02:47:27-07:00,2023-06-25,2023-06-25 09:47:27 UTC,Pacific Time (US & Canada),research,,https://www.inaturalist.org/observations/169348238,,https://static.inaturalist.org/sounds/750801.m4a?1687686463,1,0,false,"San Diego County, US-CA, US",33.0246794737,-117.1752363807,54,29012,Coyote,Canis latrans,Coyote,Mammalia,42051
170146447,fd35d100-a157-43fc-855e-aa8e2eb28b2d,2023-06-29 11:02:25-07:00,2023-06-29,2023-06-29 18:02:25 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/170146447,https://inaturalist-open-data.s3.amazonaws.com/photos/295398303/medium.jpg,https://static.inaturalist.org/sounds/755248.m4a?1688061948,1,0,false,"St. Joseph's Hill Open Space, Los Gatos, CA, US",37.2079803111,-121.9862602209,6,6,Merriam's Chipmunk,Neotamias merriami,Merriam's Chipmunk,Mammalia,197810
170279419,db5f3581-65f1-4149-936d-5aa4a108bd22,2023-06-30 07:35:52,2023-06-30,2023-06-30 14:35:52 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/170279419,https://inaturalist-open-data.s3.amazonaws.com/photos/295313794/medium.jpeg,https://static.inaturalist.org/sounds/756004.wav?1688135856,2,0,false,"Village of La Jolla, San Diego, CA 92037, USA",32.8505944997,-117.2732824997,,,California Sea Lion,Zalophus californianus,California Sea Lion,Mammalia,41740
170463771,0e61752d-4259-4f4f-b0ae-13c1f8a0fb09,2023-07-01 08:43:12-07:00,2023-07-01,2023-07-01 15:43:12 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/170463771,,https://static.inaturalist.org/sounds/756866.m4a?1688226278,2,0,false,"Robinson Rd, Sebastopol, CA, US",38.3955739023,-122.8317355305,6,6,Western Gray Squirrel,Sciurus griseus,Western Gray Squirrel,Mammalia,46023
170750702,25a07464-bccd-4208-89af-ec31f0487f50,2023/06/13 11:51 AM,2023-06-13,2023-06-13 18:51:00 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/170750702,https://inaturalist-open-data.s3.amazonaws.com/photos/296200476/medium.jpeg,https://static.inaturalist.org/sounds/758083.m4a?1688341409,1,0,false,"Sequoia National Park, CA, USA",36.6123205193,-118.7009614567,99,99,Yellow-bellied Marmot,Marmota flaviventris,Yellow-bellied Marmot,Mammalia,46086
170868319,3c8779ac-5cfb-4fe4-9b08-de532a263a65,2023-07-02 19:05:00-07:00,2023-07-02,2023-07-03 02:05:00 UTC,Pacific Time (US & Canada),research,CC-BY,https://www.inaturalist.org/observations/170868319,,https://static.inaturalist.org/sounds/758765.wav?1688404686,1,0,false,"Inverness, CA, US",37.9973933551,-122.9822092985,70,70,Northern Elephant Seal,Mirounga angustirostris,Northern Elephant Seal,Mammalia,41728
